ts,msgtype,lease
1768619769.765970,REQUEST,0
1768619769.779781,ACK,156467
1768619769.781128,ACK,156467
1768619769.782158,ACK,156467
1768619769.783534,ACK,156467
1768619769.784867,ACK,156467
1768619769.786243,ACK,156467
1768619774.742826,REQUEST,0
1768619776.743007,DISCOVER,0
1768619776.747202,ACK,156462
1768619776.747203,OFFER,156460
1768619776.747696,REQUEST,0
1768619776.747782,ACK,156462
1768619776.747783,OFFER,156460
1768619776.750443,ACK,156462
1768619776.750443,OFFER,156460
1768619776.752620,ACK,156460
1768619776.753786,ACK,156460
1768619776.756370,ACK,156460
1768619777.747692,OFFER,172800
1768619789.967316,REQUEST,0
1768619791.967378,DISCOVER,0
1768619791.974125,ACK,156447
1768619791.974179,ACK,156447
1768619791.974224,ACK,156447
1768619791.988212,OFFER,156445
1768619791.988212,OFFER,156445
1768619791.988236,OFFER,156445
1768619791.988339,REQUEST,0
1768619792.004396,ACK,156445
1768619792.004397,ACK,156445
1768619792.004397,ACK,156445
1768619792.976514,OFFER,172800
1768619820.777559,REQUEST,0
1768619820.802594,ACK,156416
1768619820.802594,ACK,156416
1768619820.802595,ACK,156416
1768619820.803974,ACK,156416
1768619820.803973,ACK,156416
1768619820.803974,ACK,156416
1768619820.806836,ACK,156416
1768619820.806836,ACK,156416
1768619820.806836,ACK,156416
1768619820.808261,ACK,156416
1768619820.808261,ACK,156416
1768619820.808261,ACK,156416
1768619838.389129,REQUEST,0
1768619838.407078,ACK,156398
1768619838.407078,ACK,156398
1768619838.407078,ACK,156398
1768619859.536517,REQUEST,0
1768619859.542833,ACK,156377
1768619859.544197,ACK,156377
1768619859.545286,ACK,156377
1768619859.546663,ACK,156377
1768619859.548054,ACK,156377
1768619859.551577,ACK,156377
1768619863.058564,REQUEST,0
1768619865.058631,DISCOVER,0
1768619865.063023,ACK,156374
1768619865.063046,ACK,156374
1768619865.063077,ACK,156374
1768619865.072488,OFFER,156372
1768619865.072492,OFFER,156372
1768619865.072492,OFFER,156372
1768619865.072646,REQUEST,0
1768619865.088966,ACK,156372
1768619865.088967,ACK,156372
1768619865.088966,ACK,156372
1768619866.065304,OFFER,172800
1768619873.854771,REQUEST,0
1768619875.854839,DISCOVER,0
1768619875.859505,ACK,156363
1768619875.859505,ACK,156363
1768619875.859506,OFFER,156361
1768619875.859506,OFFER,156361
1768619875.859748,REQUEST,0
1768619875.860568,ACK,156363
1768619875.860569,OFFER,156361
1768619875.865281,ACK,156361
1768619875.866388,ACK,156361
1768619875.868213,ACK,156361
1768619876.860045,OFFER,172800
1768619889.030630,REQUEST,0
1768619891.030722,DISCOVER,0
1768619891.037921,OFFER,156346
1768619891.038112,REQUEST,0
1768619891.039515,OFFER,156346
1768619891.040376,OFFER,156346
1768619891.041560,OFFER,156346
1768619891.042947,OFFER,156346
1768619891.044607,OFFER,156346
1768619891.045781,ACK,156346
1768619891.047041,ACK,156346
1768619891.048142,ACK,156346
1768619891.049232,ACK,156346
1768619891.050395,ACK,156346
1768619891.051499,ACK,156346
1768619892.037908,OFFER,172800
1768619894.497921,REQUEST,0
1768619896.497996,DISCOVER,0
1768619896.503426,ACK,156342
1768619896.503426,ACK,156342
1768619896.503427,OFFER,156340
1768619896.503427,OFFER,156340
1768619896.503719,REQUEST,0
1768619896.506567,ACK,156342
1768619896.506567,OFFER,156340
1768619896.509416,ACK,156340
1768619896.510761,ACK,156340
1768619896.512473,ACK,156340
1768619897.502771,OFFER,172800
1768619909.339171,REQUEST,0
1768619909.345244,ACK,156327
1768619909.345244,ACK,156327
1768619909.347550,ACK,156327
1768619924.893611,REQUEST,0
1768619926.893681,DISCOVER,0
1768619926.898300,ACK,156312
1768619926.898301,OFFER,156310
1768619926.898467,REQUEST,0
1768619926.898508,ACK,156312
1768619926.898508,OFFER,156310
1768619926.901275,ACK,156312
1768619926.901275,OFFER,156310
1768619926.904506,ACK,156310
1768619926.905063,ACK,156310
1768619926.907287,ACK,156310
1768619927.898302,OFFER,172800
1768619938.433274,REQUEST,0
1768619938.439743,ACK,156298
1768619938.441106,ACK,156298
1768619938.442173,ACK,156298
1768619938.443281,ACK,156298
1768619938.444365,ACK,156298
1768619938.445520,ACK,156298
1768619943.775356,REQUEST,0
1768619945.775513,DISCOVER,0
1768619945.780238,ACK,156293
1768619945.780238,OFFER,156291
1768619945.780692,REQUEST,0
1768619945.782466,ACK,156293
1768619945.782466,OFFER,156291
1768619945.785565,ACK,156291
1768619945.786231,ACK,156293
1768619945.786232,OFFER,156291
1768619945.786232,ACK,156291
1768619945.789029,ACK,156291
1768619946.781140,OFFER,172800
1768619951.633736,REQUEST,0
1768619951.638887,ACK,156285
1768619951.639731,ACK,156285
1768619951.643051,ACK,156285
1768619961.428190,REQUEST,0
1768619963.428287,DISCOVER,0
1768619963.435540,ACK,156275
1768619963.435540,ACK,156275
1768619963.435540,OFFER,156273
1768619963.435540,OFFER,156273
1768619963.435818,REQUEST,0
1768619963.438119,ACK,156275
1768619963.438119,OFFER,156273
1768619963.441542,ACK,156273
1768619963.442330,ACK,156273
1768619963.444271,ACK,156273
1768619964.434874,OFFER,172800
1768619978.304277,REQUEST,0
1768619978.310462,ACK,156258
1768619978.327558,ACK,156258
1768619978.327560,ACK,156258
1768620001.561239,REQUEST,0
1768620003.561301,DISCOVER,0
1768620008.322586,REQUEST,0
1768620008.353438,ACK,156228
1768620008.370931,ACK,156228
1768620008.372326,ACK,156228
1768620008.373422,ACK,156228
1768620008.374511,ACK,156228
1768620008.375576,ACK,156228
1768620016.675597,REQUEST,0
1768620016.697101,ACK,156220
1768620016.700583,ACK,156220
1768620016.702584,ACK,156220
1768620016.703440,ACK,156220
1768620016.723558,ACK,156220
1768620016.724932,ACK,156220
1768620044.266436,REQUEST,0
1768620044.275135,ACK,156192
1768620044.288204,ACK,156192
1768620044.289188,ACK,156192
1768620044.290469,ACK,156192
1768620044.291724,ACK,156192
1768620044.292896,ACK,156192
1768620064.146948,REQUEST,0
1768620064.160227,ACK,156173
1768620064.160280,ACK,156173
1768620064.160281,ACK,156173
1768620064.160281,ACK,156173
1768620064.163228,ACK,156173
1768620064.163285,ACK,156173
1768620072.727319,REQUEST,0
1768620072.735528,ACK,156164
1768620072.736805,ACK,156164
1768620072.737931,ACK,156164
1768620072.739166,ACK,156164
1768620072.740193,ACK,156164
1768620072.741546,ACK,156164
1768620092.279469,REQUEST,0
1768620092.285846,ACK,156144
1768620092.286501,ACK,156144
1768620092.288430,ACK,156144
1768620108.453741,REQUEST,0
1768620108.467533,ACK,156128
1768620108.468427,ACK,156128
1768620108.469336,ACK,156128
1768620108.470765,ACK,156128
1768620108.471904,ACK,156128
1768620108.473153,ACK,156128
1768620141.968051,REQUEST,0
1768620141.975048,ACK,156095
1768620141.977238,ACK,156095
1768620141.978334,ACK,156095
1768620141.979480,ACK,156095
1768620141.980758,ACK,156095
1768620141.981689,ACK,156095
1768620159.130685,REQUEST,0
1768620161.130758,DISCOVER,0
1768620161.135600,ACK,156078
1768620161.135601,ACK,156078
1768620161.135601,OFFER,156076
1768620161.135601,OFFER,156076
1768620161.135874,REQUEST,0
1768620161.136451,ACK,156078
1768620161.136451,OFFER,156076
1768620161.141669,ACK,156076
1768620161.142511,ACK,156076
1768620161.144098,ACK,156076
1768620162.135845,OFFER,172800
1768620176.835815,REQUEST,0
1768620176.843468,ACK,156060
1768620176.844807,ACK,156060
1768620176.846090,ACK,156060
1768620176.847218,ACK,156060
1768620176.848414,ACK,156060
1768620176.849746,ACK,156060
1768620210.234597,REQUEST,0
1768620212.234677,DISCOVER,0
1768620212.238816,ACK,156026
1768620212.238816,OFFER,156024
1768620212.239088,REQUEST,0
1768620212.239281,OFFER,156024
1768620212.239327,ACK,156026
1768620212.239357,ACK,156026
1768620213.239710,ACK,156024
1768620213.239710,OFFER,172800
1768620224.947866,ACK,156024
1768620224.947892,OFFER,156024
1768620224.947928,ACK,156024
1768620225.070684,REQUEST,0
1768620227.070726,DISCOVER,0
1768620227.078826,ACK,156012
1768620227.078842,ACK,156012
1768620227.078842,OFFER,156010
1768620227.078826,OFFER,156010
1768620227.079057,REQUEST,0
1768620227.086186,ACK,156012
1768620227.086186,ACK,156010
1768620227.086186,OFFER,156010
1768620227.086186,ACK,156010
1768620227.087786,ACK,156010
1768620228.080900,OFFER,172800
1768620237.095932,REQUEST,0
1768620238.834146,ACK,156000
1768620251.527639,ACK,156000
1768620251.527662,ACK,156000
1768620251.645568,REQUEST,0
1768620251.651941,ACK,155985
1768620251.653011,ACK,155985
1768620251.654074,ACK,155985
1768620251.655449,ACK,155985
1768620251.656548,ACK,155985
1768620251.659285,ACK,155985
1768620258.498850,REQUEST,0
1768620260.498884,DISCOVER,0
1768620260.504080,ACK,155978
1768620260.504080,OFFER,155976
1768620260.504267,ACK,155978
1768620260.504295,ACK,155978
1768620260.504422,REQUEST,0
1768620261.504881,OFFER,155976
1768620261.504881,ACK,155976
1768620261.504881,OFFER,172800
1768620270.102021,ACK,155976
1768620270.102101,OFFER,155976
1768620270.102119,ACK,155976
1768620270.218596,REQUEST,0
1768620270.223425,ACK,155966
1768620270.225454,ACK,155966
1768620270.227537,ACK,155966
1768620288.075000,REQUEST,0
1768620290.075055,DISCOVER,0
1768620290.079540,ACK,155949
1768620290.079540,ACK,155949
1768620290.079570,ACK,155949
1768620290.090146,OFFER,155947
1768620290.090146,OFFER,155947
1768620290.090162,OFFER,155947
1768620290.090285,REQUEST,0
1768620290.107720,ACK,155947
1768620290.107720,ACK,155947
1768620290.107720,ACK,155947
1768620291.082870,OFFER,172800
1768620320.278762,REQUEST,0
1768620320.285179,ACK,155916
1768620320.285728,ACK,155916
1768620320.287518,ACK,155916
1768620333.173115,REQUEST,0
1768620333.181367,ACK,155904
1768620333.182733,ACK,155904
1768620333.183832,ACK,155904
1768620333.185108,ACK,155903
1768620333.186506,ACK,155903
1768620333.187398,ACK,155903
1768620349.604142,REQUEST,0
1768620351.604191,DISCOVER,0
1768620351.608938,ACK,155887
1768620351.608938,ACK,155887
1768620351.608939,OFFER,155885
1768620351.608939,OFFER,155885
1768620351.609162,REQUEST,0
1768620351.610433,ACK,155887
1768620351.610433,OFFER,155885
1768620351.616147,ACK,155885
1768620351.616147,ACK,155885
1768620351.618576,ACK,155885
1768620352.609172,OFFER,172800
1768620363.345299,REQUEST,0
1768620363.353279,ACK,155873
1768620363.353292,ACK,155873
1768620363.355192,ACK,155873
1768620379.512366,REQUEST,0
1768620379.521518,ACK,155857
1768620379.521519,ACK,155857
1768620379.521519,ACK,155857
1768620395.086129,REQUEST,0
1768620395.118026,ACK,155842
1768620395.119661,ACK,155842
1768620395.126060,ACK,155842
1768620395.127443,ACK,155842
1768620395.128914,ACK,155842
1768620395.130589,ACK,155842
1768620399.986903,REQUEST,0
1768620399.995384,ACK,155837
1768620399.995384,ACK,155837
1768620399.995423,ACK,155837
1768620427.524653,REQUEST,0
1768620427.558030,ACK,155809
1768620427.559267,ACK,155809
1768620427.560653,ACK,155809
1768620427.561714,ACK,155809
1768620427.562880,ACK,155809
1768620427.563906,ACK,155809
1768620460.601755,REQUEST,0
1768620460.818275,ACK,155776
1768620460.818287,ACK,155776
1768620474.658566,ACK,155776
1768620493.768670,REQUEST,0
1768620493.773918,ACK,155743
1768620493.774484,ACK,155743
1768620493.776635,ACK,155743
1768620502.543312,REQUEST,0
1768620502.560270,ACK,155734
1768620502.560269,ACK,155734
1768620502.560268,ACK,155734
1768620521.227855,REQUEST,0
1768620521.233813,ACK,155715
1768620521.233813,ACK,155715
1768620521.238539,ACK,155715
1768620541.305976,REQUEST,0
1768620543.306127,DISCOVER,0
1768620543.418683,ACK,155695
1768620543.423648,ACK,155695
1768620543.423648,ACK,155695
1768620544.412307,OFFER,155693
1768620544.412308,OFFER,155693
1768620544.412308,OFFER,172800
1768620544.412479,REQUEST,0
1768620544.491721,ACK,155692
1768620547.146456,OFFER,155693
1768620547.146542,OFFER,155693
1768620547.146566,OFFER,155693
1768620549.787534,REQUEST,0
1768620549.795463,ACK,155687
1768620549.797833,ACK,155687
1768620549.798993,ACK,155687
1768620549.800393,ACK,155687
1768620549.801500,ACK,155687
1768620549.802455,ACK,155687
1768620572.629161,REQUEST,0
1768620572.636679,ACK,155664
1768620572.638027,ACK,155664
1768620572.639073,ACK,155664
1768620572.642722,ACK,155664
1768620572.644099,ACK,155664
1768620572.647102,ACK,155664
1768620587.767406,REQUEST,0
1768620589.767571,DISCOVER,0
1768620592.055629,DISCOVER,0
1768620592.063262,OFFER,155645
1768620592.063262,OFFER,155645
1768620592.063563,REQUEST,0
1768620592.065281,OFFER,155645
1768620592.069488,ACK,155645
1768620592.069488,ACK,155645
1768620592.073088,ACK,155645
1768620593.065920,OFFER,172800
1768620601.544100,REQUEST,0
1768620603.544180,DISCOVER,0
1768620603.548994,ACK,155635
1768620603.548994,ACK,155635
1768620603.548994,OFFER,155633
1768620603.548994,OFFER,155633
1768620603.549239,REQUEST,0
1768620603.551033,ACK,155635
1768620603.551033,OFFER,155633
1768620603.555832,ACK,155633
1768620603.557040,ACK,155633
1768620603.559139,ACK,155633
1768620604.549519,OFFER,172800
1768620615.513389,REQUEST,0
1768620615.529318,ACK,155621
1768620615.529328,ACK,155621
1768620615.529328,ACK,155621
1768620647.129329,REQUEST,0
1768620647.138602,ACK,155590
1768620647.141394,ACK,155590
1768620647.141394,ACK,155590
1768620680.722144,REQUEST,0
1768620680.727052,ACK,155556
1768620680.727052,ACK,155556
1768620680.730441,ACK,155556
1768620699.814392,REQUEST,0
1768620701.351551,ACK,155537
1768620701.352129,ACK,155537
1768620701.352200,ACK,155537
1768620720.949442,REQUEST,0
1768620720.964284,ACK,155516
1768620720.964284,ACK,155516
1768620720.964561,ACK,155516
1768620720.974776,ACK,155516
1768620720.975975,ACK,155516
1768620720.977218,ACK,155516
1768620737.015626,REQUEST,0
1768620739.016241,DISCOVER,0
1768620740.628155,ACK,155500
1768620740.628155,ACK,155500
1768620740.628155,ACK,155500
1768620740.628280,ACK,155500
1768620740.628284,ACK,155500
