ts,msgtype,lease
1768671835.424552,REQUEST,0
1768671835.432472,ACK,3439
1768671921.316635,DISCOVER,0
1768671923.365605,REQUEST,0
1768671955.520761,DISCOVER,0
1768671957.565783,REQUEST,0
1768672161.035085,DISCOVER,0
1768672163.082261,REQUEST,0
1768672285.040940,DISCOVER,0
1768672286.167045,DISCOVER,0
1768672287.191053,REQUEST,0
1768672291.594859,DISCOVER,0
1768672480.521916,DISCOVER,0
1768672481.546318,DISCOVER,0
1768672481.546318,REQUEST,0
1768672730.379812,DISCOVER,0
1768672730.380491,OFFER,7200
1768672731.403170,DISCOVER,0
1768672731.403843,OFFER,7200
1768672732.531666,REQUEST,0
1768672831.958740,DISCOVER,0
1768672831.960992,OFFER,7200
1768672833.903991,REQUEST,0
1768672919.732985,DISCOVER,0
1768672919.733503,OFFER,7200
1768672920.742340,OFFER,3600
1768672923.256907,DISCOVER,0
1768672923.257429,OFFER,7200
1768672923.262270,OFFER,3600
1768672930.482485,DISCOVER,0
1768672930.483064,OFFER,7200
1768672930.488715,OFFER,3600
1768672946.987007,DISCOVER,0
1768672946.987970,OFFER,7200
1768672946.993705,OFFER,3600
1768672978.266325,DISCOVER,0
1768672978.266874,OFFER,7200
1768672978.289466,OFFER,3600
1768673041.410041,DISCOVER,0
1768673041.410531,OFFER,7200
1768673042.492977,OFFER,3600
1768673106.115973,DISCOVER,0
1768673106.116639,OFFER,7200
1768673107.125717,OFFER,3600
1768673170.720897,DISCOVER,0
1768673170.721493,OFFER,7200
1768673171.824345,OFFER,3600
1768673181.251278,REQUEST,0
1768673234.279827,DISCOVER,0
1768673234.280326,OFFER,7200
1768673235.312118,OFFER,3600
1768673297.353120,DISCOVER,0
1768673297.354120,OFFER,7200
1768673298.390747,OFFER,3600
1768673554.924594,REQUEST,0
1768673554.932306,ACK,3600
1768673731.233352,DISCOVER,0
1768673732.257382,OFFER,3600
1768673732.360170,ACK,3600
1768673732.360170,REQUEST,0
1768674076.832977,REQUEST,0
1768674115.642468,DISCOVER,0
1768674117.690114,REQUEST,0
1768674538.041807,DISCOVER,0
1768674540.089366,REQUEST,0
1768674562.113504,REQUEST,0
1768674598.969573,DISCOVER,0
1768674600.095716,DISCOVER,0
1768674601.222479,REQUEST,0
1768674705.363099,DISCOVER,0
1768674707.410782,REQUEST,0
1768674746.528962,REQUEST,0
1768674760.455303,DISCOVER,0
1768674762.615572,REQUEST,0
1768674824.352064,REQUEST,0
1768674951.122705,DISCOVER,0
1768674953.170383,REQUEST,0
1768675354.924697,REQUEST,0
1768675354.933696,ACK,3600
1768675436.805025,DISCOVER,0
1768675438.862432,REQUEST,0
1768675502.956610,REQUEST,0
